id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source,num,useable,newAddress
240689,25jan2012,2012,1,25,605,January,2012,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,3,23,0,N JEFFERSON AVE & RU,,KINGSHIGHWAY,,BUS STOP,0,0,January2012.dta,103,,
241838,11jan2012,2012,1,11,610,February,2012,Burglary,51112,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,No,No,Yes,1,1,16,3646,,,NEOSHO,,: APT 1 E,0,0,February2012.dta,104,,
242010,01feb2012,2012,2,1,800,February,2012,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,7,46,0,SKINKER PLATFORM,,SKINKER PLATFORM,METRO,METRO LINK PLATFORM,0,0,February2012.dta,105,,
243117,11feb2012,2012,2,11,2137,February,2012,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,0,0,UNKNOWN,,CLARK,,BADEN NEIGHBORHOOD,0,0,February2012.dta,106,,
245008,28jul2011,2011,7,28,1330,February,2012,Forgery and Counterfeiting,102000,FORGERY-POSSESSION OF FORGING INSTRUMENT,No,No,Yes,1,4,35,300,,,4TH,,: @MANSION HOUSE,0,0,February2012.dta,107,,
245085,28dec2011,2011,12,28,1900,February,2012,Larceny,69702,LARCENY-ALL OTHER UNDER $500,Yes,No,No,1,7,0,0,UNKNOWN,,,PHILLIPS 66 GAS STATION,,0,0,February2012.dta,108,,
245636,03mar2012,2012,3,3,956,March,2012,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,5,67,0,N GRAND BLVD,,,99 + STORE,,0,0,March2012.dta,109,,
248666,26mar2012,2012,3,26,1825,March,2012,Narcotics,182130,DRUGS-POSSESSION/HEROIN,Yes,No,No,1,5,68,0,OFALLON PARK,,,,@OFALLON PARK,0,0,March2012.dta,110,,
249188,30mar2012,2012,3,30,2000,March,2012,Other Offense,266999,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,Yes,No,No,1,4,36,,14TH SPRUCE,,,CIVIC CENTER,CIVIC CENTER,0,0,March2012.dta,111,,
249637,29mar2012,2012,3,29,1700,April,2012,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,No,No,Yes,1,3,18,3624,,,SALENA,VACANT APARTMENT COMPLEX,,0,0,April2012.dta,112,,
250247,04apr2012,2012,4,4,1330,April,2012,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,2,9,0,SHREWSBURY METRO LIN,,SHREWSBURY METRO LIN,METRO,7201 LANSDOWNE,0,0,April2012.dta,113,,
250562,06apr2012,2012,4,6,1920,April,2012,Larceny,64601,"LARCENY-FROM MTR VEH $500 - $24,999",Yes,No,No,1,2,82,0,FOREST PARK,,MARMADUKE,,RED BUD GOLF COURSE,0,0,April2012.dta,114,,
252751,20apr2012,2012,4,20,1000,April,2012,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,0,0,0,ST LOUIS CITY,,DE BALIVIERE,,ALIAS 565 DEBALIVIERE CITY,0,0,April2012.dta,115,,
254354,09apr2012,2012,4,9,1,May,2012,Other Assaults,91123,SIMPLE ASSAULT-CHILD/NO INJURY,Yes,No,No,1,0,0,0,UNKNOWN,,,,UNKNOWN LOCATION,0,0,May2012.dta,116,,
254457,25apr2012,2012,4,25,1500,May,2012,Larceny,69702,LARCENY-ALL OTHER UNDER $500,Yes,No,No,1,1,80,0,CARONDELET PARK,,CARONDELET PARK,CARONDELET PARK,CARONDELET PARK,0,0,May2012.dta,117,,
255224,05may2012,2012,5,5,1100,May,2012,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,2,82,0,UNION DR,,,,@ MCKINLEY DR,0,0,May2012.dta,118,,
255226,05may2012,2012,5,5,1115,May,2012,Larceny,65701,LARCENY-MTR VEH PARTS UNDER $500,Yes,No,No,1,4,35,0,S BROADWAY,,,STADIUM EAST GARAGE,,0,0,May2012.dta,119,,
255422,06may2012,2012,5,6,1800,May,2012,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,0,0,0,UNKNOWN,,FLORISSANT,,ST. LOUIS COUNTY/ JENNINGS MO.,0,0,May2012.dta,120,,
256175,11may2012,2012,5,11,1630,May,2012,Larceny,64701,LARCENY-FROM MTR VEH UNDER $500,Yes,No,No,1,2,0,0,UNKNOWN,,,FOREST PARK,GOVERERNMENT/ NORTH ZOO LOT,0,0,May2012.dta,121,,
258605,27may2012,2012,5,27,2115,May,2012,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,7,48,0,"(87884044,102769354)",,,@METROLINK - DELMAR,,0,0,May2012.dta,122,,
258946,30may2012,2012,5,30,1200,May,2012,Larceny,64711,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,Yes,No,No,1,0,0,,CARR LANE,,,,@WORLDS FAIR PAVILION,0,0,May2012.dta,123,,
259070,31may2012,2012,5,31,1107,May,2012,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,3,20,0,INTERSTATE HWY 55 SB,,GILES,,OVERPASS BEFORE MILE 208 MARKER,0,0,May2012.dta,124,,
259311,18may2012,2012,5,18,900,June,2012,Larceny,67701,LARCENY-FROM BUILDING UNDER $500,No,No,Yes,1,3,19,3507,,,NEBRASKA,,MULTI-FAMILY APARTMENT BUILDING,0,0,June2012.dta,125,,
