id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
502,03jan2008,2008,1,3,2100,January,2008,Embezzlement,121000,EMBEZZLEMENT-VALUE OVER $150,Yes,No,No,1,8,58,4344,DR MARTIN LUTHER KIN,4344,DR MARTIN L KING,FAMILY DOLLAR,ALIAS 4344 MARTIN LUTHER KING DR,893273.31,1027743,1,January2008.dta
818,05jan2008,2008,1,5,1500,January,2008,Embezzlement,121000,EMBEZZLEMENT-VALUE OVER $150,Yes,No,No,1,6,73,8971,RIVERVIEW BLVD,8971,RIVERVIEW,FAMILY DOLLAR STORE,,894241.88,1051406,1,January2008.dta
1796,10jan2008,2008,1,10,2340,January,2008,Embezzlement,121000,EMBEZZLEMENT-VALUE OVER $150,Yes,No,No,1,9,37,35,S GRAND BLVD,0,S GRAND,CFM GAS MART,,896073.63,1019677,1,January2008.dta
1861,11jan2008,2008,1,11,1036,January,2008,Embezzlement,121000,EMBEZZLEMENT-VALUE OVER $150,Yes,No,No,1,9,38,4301,LINDELL BLVD,4301,LINDELL,US BANK,,891374.5,1022502,1,January2008.dta
2617,15jan2008,2008,1,15,1532,January,2008,Embezzlement,122000,EMBEZZLEMENT-VALUE UNDER $150,Yes,No,No,1,9,37,3818,LACLEDE AVE,3818,LACLEDE,LACLEDE STREET BAR AND GRILL,,894381.5,1020323,1,January2008.dta
3517,21jan2008,2008,1,21,500,January,2008,Embezzlement,121000,EMBEZZLEMENT-VALUE OVER $150,Yes,No,No,1,3,21,1314,GRAVOIS AVE,1314,GRAVOIS,MIDWEST PETROLUM,,902707.63,1010535,1,January2008.dta
4640,28jan2008,2008,1,28,1400,January,2008,Embezzlement,121000,EMBEZZLEMENT-VALUE OVER $150,Yes,No,No,1,9,37,35,S GRAND BLVD,0,S GRAND,SHELL GAS STATION,,896073.63,1019677,1,January2008.dta
4790,29jan2008,2008,1,29,1341,January,2008,Embezzlement,121000,EMBEZZLEMENT-VALUE OVER $150,Yes,No,No,1,3,21,1,BUSCH PL,0,BUSCH PL,ANHEUSER-BUSCH INC ST. LOUIS PLANT,,903092.81,1006940,1,January2008.dta
4865,30jan2003,2003,1,30,1,January,2008,Embezzlement,121000,EMBEZZLEMENT-VALUE OVER $150,Yes,No,No,1,2,14,5927,SUSON PL,5927,SUSON PL,,,880202,1008446,0,January2008.dta
5066,01jul2007,2007,7,1,1103,January,2008,Embezzlement,121000,EMBEZZLEMENT-VALUE OVER $150,Yes,No,No,1,2,82,6101,GOVERNMENT DR,6101,FOREST PK,BOATHOUSE,@ FOREST PARK,881437.38,1021756,0,January2008.dta
