id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
211,02jan2008,2008,1,2,46,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,7,52,2616,UNION BLVD,2616,UNION,,,887738.88,1033330,1,January2008.dta
229,02jan2008,2008,1,2,815,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,9,29,3829,MCREE AVE,3829,MCREE,,,893566.13,1014230,1,January2008.dta
350,02jan2008,2008,1,2,2131,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,1,5,4418,WALLACE AVE,4418,WALLACE,,,885841.19,1001205,1,January2008.dta
452,03jan2008,2008,1,3,1400,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,3,30,2753,ARSENAL ST,2753,ARSENAL,,,897854.88,1007550,1,January2008.dta
632,04jan2008,2008,1,4,1501,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,6,76,5734,ERA AVE,5734,ERA,,,890348.13,1047633,1,January2008.dta
690,04jan2008,2008,1,4,2114,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,3,15,3463,S SPRING AVE,3463,S SPRING,,,892315.69,1005487,1,January2008.dta
722,04jan2008,2008,1,4,2335,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,3,15,3463,S SPRING AVE,3463,S SPRING,,,892315.69,1005487,1,January2008.dta
788,05jan2008,2008,1,5,1105,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,1,16,4140,S BROADWAY,4140,S BROADWAY,,@WALGREENS - BROADWAY AND GASCONADE,897819.13,1000267,1,January2008.dta
887,05jan2008,2008,1,5,2019,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,9,39,0,TOWER GROVE AVE / VI,0,TOWER GROVE,,,889841.69,1016293,1,January2008.dta
955,06jan2008,2008,1,6,408,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,7,48,1201,GOODFELLOW BLVD,1201,GOODFELLOW,,,881574.5,1030687,1,January2008.dta
1090,07jan2008,2008,1,7,15,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,7,48,850,CLARA AVE,0,CLARA,,,882601.63,1028232,1,January2008.dta
1221,07jan2008,2008,1,7,1941,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,3,19,3457,MIAMI ST,3457,MIAMI,,,893963.5,1004477,1,January2008.dta
1273,07jan2008,2008,1,7,2235,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,7,50,5319,NORTHLAND AVE,5319,NORTHLAND,,,887485.81,1033578,1,January2008.dta
1358,08jan2008,2008,1,8,1409,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,7,49,15,BEVERLY PL,0,BEVERLY PL,,,883709.31,1027223,1,January2008.dta
1400,08jan2008,2008,1,8,1840,January,2008,Stolen Property,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",Yes,No,No,1,6,69,4139,CAMELLIA AVE,4139,CAMELLIA,,,895536.88,1035000,1,January2008.dta
