id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
34,01jan2008,2008,1,1,25,January,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,9,28,1626,TOWER GROVE AVE,0,I 70,,,890088.5,1014587,1,January2008.dta
43,01jan2008,2008,1,1,35,January,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,4,36,326,S 21ST ST,0,S 21ST,CLUB SOCITEY,,902681.88,1017047,1,January2008.dta
62,01jan2008,2008,1,1,130,January,2008,Robbery,31211,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL,Yes,No,No,1,3,19,2741,CHIPPEWA ST,2741,CHIPPEWA,,NORTH ALLEY BEHIND 2741 CHIPPEWA,897312.69,1002667,1,January2008.dta
119,01jan2008,2008,1,1,920,January,2008,Robbery,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,Yes,No,No,1,4,35,600,N 6TH ST,0,N 6TH,,,908954.88,1018433,1,January2008.dta
139,01jan2008,2008,1,1,1200,January,2008,Robbery,31112,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT,Yes,No,No,1,5,67,3800,CARTER AVE,3800,CARTER,,,901391.69,1032918,1,January2008.dta
141,01jan2008,2008,1,1,1230,January,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,6,71,4901,UNION BLVD,4901,UNION,,,891567.31,1039846,1,January2008.dta
167,01jan2008,2008,1,1,1831,January,2008,Robbery,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,Yes,No,No,1,9,77,916,N GRAND BLVD,0,N GRAND,CHECK CASHING,REAR ALLEY,897335.19,1022448,1,January2008.dta
283,02jan2008,2008,1,2,1433,January,2008,Robbery,34111,ROBBERY-CONVEN STOR/FIREARM USED/SUCCESS,Yes,No,No,1,8,58,4260,C D BANKS AVE,4260,CD BANKS,A-1 FOOD,,892929.63,1025748,1,January2008.dta
286,02jan2008,2008,1,2,1500,January,2008,Robbery,31311,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL,Yes,No,No,1,6,74,8800,N BROADWAY,8800,N BROADWAY,,,897808.63,1052526,1,January2008.dta
311,02jan2008,2008,1,2,1715,January,2008,Robbery,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,Yes,No,No,1,7,51,1215,N KINGSHIGHWAY BLVD,1215,N KINGSHIGHWAY,AUTO ZONE,,888084.38,1028777,1,January2008.dta
