id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
3,01jan1990,1990,1,1,1000,January,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,7,78,1430,GRANVILLE PL,1430,GRANVILLE PL,,,884634.88,1031735,0,January2008.dta
5,01jan2004,2004,1,1,1000,January,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,7,46,6019,KINGSBURY AVE,6019,KINGSBURY,,,878823.81,1026494,0,January2008.dta
9,01jan2005,2005,1,1,1000,January,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,2,8,5847,EICHELBERGER ST,5847,EICHELBERGER,,,878784.63,1000828,0,January2008.dta
10,01jan2006,2006,1,1,1,January,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,3,15,3849,CONNECTICUT ST,3849,CONNECTICUT,,,892140.69,1007721,0,January2008.dta
13,01jan2007,2007,1,1,1000,January,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,1,16,3805,ITASKA ST,3805,ITASKA,,,890682.63,999164,0,January2008.dta
14,01jan2007,2007,1,1,1000,January,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,3,26,2926,MILTON BLVD,2926,MILTON,,,897276.5,1010780,0,January2008.dta
142,01jan2008,2008,1,1,1301,January,2008,Frauds,115200,FRAUD-STEALING BY DECEIT/UNDER $150,Yes,No,No,1,5,60,2515,SAINT LOUIS AVE,2515,ST LOUIS,,ALIAS 2515 ST LOUIS AVE,903205.69,1026596,1,January2008.dta
152,01jan2008,2008,1,1,1520,January,2008,Frauds,117000,FAILURE TO RETURN BORROWED/RENTED VEHICL,Yes,No,No,1,3,25,3456,S GRAND BLVD,3456,S GRAND,,@ABC RENTAL,893584.81,1005186,1,January2008.dta
289,02jan2008,2008,1,2,1514,January,2008,Frauds,115400,STLG BY DECEIT/IDENTITY THEFT REPORT,Yes,No,No,1,1,1,6024,MICHIGAN AVE,6024,MICHIGAN,,,892289.88,992878.81,1,January2008.dta
300,02jan2008,2008,1,2,1610,January,2008,Frauds,112010,FRAUD-CREDIT DEVICE/OVER $150,Yes,No,No,1,8,55,2318,N EUCLID AVE,2318,N EUCLID,,,889963.88,1031284,1,January2008.dta
