id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
1498,09jan2008,2008,1,9,935,January,2008,Commercialized Sex,161000,PROSTITUTION,Yes,No,No,1,5,59,2534,N GRAND BLVD,2534,N GRAND,,,899572.19,1026783,1,January2008.dta
12433,14mar2008,2008,3,14,1825,March,2008,Commercialized Sex,161000,PROSTITUTION,Yes,No,No,1,4,36,1881,PINE ST,1881,PINE,,,903904.81,1018757,1,March2008.dta
20954,30apr2008,2008,4,30,710,April,2008,Commercialized Sex,161000,PROSTITUTION,Yes,No,No,1,4,36,721,N TUCKER BLVD,0,N TUCKER,SHELL STATION,,906857.63,1019492,1,April2008.dta
24339,17may2008,2008,5,17,2103,May,2008,Commercialized Sex,162000,PROSTITUTION-PATRONIZING,Yes,No,No,1,6,72,5200,BEACON AVE,5200,BEACON,,CITY STREET,891711,1042187,1,May2008.dta
25770,24may2008,2008,5,24,1944,May,2008,Commercialized Sex,161000,PROSTITUTION,Yes,No,No,1,1,2,7416,ALABAMA AVE,7416,ALABAMA,,,888194.81,989934.5,1,May2008.dta
28663,07jun2008,2008,6,7,914,June,2008,Commercialized Sex,162000,PROSTITUTION-PATRONIZING,Yes,No,No,1,7,48,5836,PAGE BLVD,5836,PAGE,,SOUTH ALLEY BEHIND APARTMENT COMPLEX,881833.63,1031958,1,June2008.dta
42910,16aug2008,2008,8,16,2200,August,2008,Commercialized Sex,161000,PROSTITUTION,Yes,No,No,1,5,59,2900,HYAMS PL,2900,HYAMS PL,,,899369.19,1028449,1,August2008.dta
56894,23oct2008,2008,10,23,2000,October,2008,Commercialized Sex,161000,PROSTITUTION,Yes,No,No,1,1,16,4005,S GRAND BLVD,4005,S GRAND,,,893038.31,1001781,1,October2008.dta
56988,24oct2008,2008,10,24,900,October,2008,Commercialized Sex,161000,PROSTITUTION,Yes,No,No,1,7,78,1401,HODIAMONT AVE,1401,HODIAMONT,,,880984.13,1033735,1,October2008.dta
59808,07nov2008,2008,11,7,906,November,2008,Commercialized Sex,161000,PROSTITUTION,Yes,No,No,1,7,50,5637,THEODOSIA AVE,5637,THEODOSIA,,,884141.5,1033496,1,November2008.dta
