id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
28,01jan2008,2008,1,1,4,January,2008,Arson,81000,ARSON-1ST DEGREE/SUCCESS,Yes,No,No,1,8,55,4767,MAFFITT AVE,4767,MAFFITT,,APT A,891344.88,1032140,1,January2008.dta
250,02jan2008,2008,1,2,1100,January,2008,Arson,82000,ARSON-2ND DEGREE/SUCCESS,Yes,No,No,1,7,50,3320,BELT AVE,3320,BELT,,MULTI FAMILY DWELLING,887334.13,1036343,1,January2008.dta
533,04jan2008,2008,1,4,32,January,2008,Arson,82000,ARSON-2ND DEGREE/SUCCESS,Yes,No,No,1,7,50,2533,BURD AVE,2533,BURD,,,885425.38,1034403,1,January2008.dta
545,04jan2008,2008,1,4,350,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,No,Yes,No,-1,3,15,3947,FAIRVIEW AVE,3947,FAIRVIEW,,,890937.81,1005815,1,January2008.dta
546,04jan2008,2008,1,4,350,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,3,15,3947,FAIRVIEW AVE,3947,FAIRVIEW,,,890937.81,1005815,1,January2008.dta
908,05jan2008,2008,1,5,2225,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,4,62,705,OFALLON ST,0,OFALLON,COCHRAN,STREET,909273.88,1021034,1,January2008.dta
1094,07jan2008,2008,1,7,55,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,7,50,5657,COTE BRILLIANTE AVE,5657,COTE BRILLIANTE,,,884148.81,1033908,1,January2008.dta
1246,07jan2008,2008,1,7,2057,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,6,74,8960,RIVERVIEW BLVD,8960,RIVERVIEW,,,894481.31,1051455,1,January2008.dta
1702,10jan2008,2008,1,10,1500,January,2008,Arson,82000,ARSON-2ND DEGREE/SUCCESS,Yes,No,No,1,3,25,3518,CONNECTICUT ST,3518,CONNECTICUT,,,894154.38,1007271,1,January2008.dta
1826,11jan2008,2008,1,11,542,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,4,64,100,FLORIDA ST,0,FLORIDA,,,910691.88,1022210,1,January2008.dta
2064,12jan2008,2008,1,12,546,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,8,55,3030,N EUCLID AVE,3030,N EUCLID,,,891315.81,1033702,1,January2008.dta
2465,14jan2008,2008,1,14,1521,January,2008,Arson,81000,ARSON-1ST DEGREE/SUCCESS,Yes,No,No,1,7,46,5819,WESTMINSTER PL,5819,WESTMINSTER PL,HAMILTON ELEMENTARY SCHOOL,@HAMILTON SCHOOL,880233.88,1026724,1,January2008.dta
2809,16jan2008,2008,1,16,1800,January,2008,Arson,83100,ARSON-KNOWINGLY BURNING/ATTEMPT,Yes,No,No,1,6,71,5368,UNION BLVD,5368,UNION,,,893711.5,1041221,1,January2008.dta
2973,17jan2008,2008,1,17,1920,January,2008,Arson,82000,ARSON-2ND DEGREE/SUCCESS,Yes,No,No,1,1,16,5031,S 37TH ST,5031,37TH,,,890961.81,997996.5,1,January2008.dta
3021,18jan2008,2008,1,18,40,January,2008,Arson,82000,ARSON-2ND DEGREE/SUCCESS,Yes,No,No,1,6,72,5512,ROBIN AVE,5512,ROBIN,,,892255.19,1044639,1,January2008.dta
3483,21jan2008,2008,1,21,5,January,2008,Arson,81000,ARSON-1ST DEGREE/SUCCESS,Yes,No,No,1,5,67,4211,GANO AVE,4211,GANO,,,901328.13,1032317,1,January2008.dta
3531,21jan2008,2008,1,21,845,January,2008,Arson,82000,ARSON-2ND DEGREE/SUCCESS,Yes,No,No,1,6,71,4952,ASHBY AVE,4952,ASHBY,,,895077.63,1039981,1,January2008.dta
3599,21jan2008,2008,1,21,1914,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,4,64,820,MADISON ST,0,MADISON,,,909266.63,1024907,1,January2008.dta
3787,22jan2008,2008,1,22,2345,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,9,39,4432,SWAN AVE,4432,SWAN,,IN AREA,888599.88,1016632,1,January2008.dta
3912,23jan2008,2008,1,23,1935,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,5,67,4161,PECK ST,4161,PECK,,,902343.13,1031470,1,January2008.dta
3920,23jan2008,2008,1,23,2030,January,2008,Arson,81000,ARSON-1ST DEGREE/SUCCESS,Yes,No,No,1,2,13,5300,ARSENAL ST,5300,ARSENAL,ST. LOUIS PSYCHIATRIC REHABILITATION,,883530.5,1009029,1,January2008.dta
4156,25jan2008,2008,1,25,1630,January,2008,Arson,83000,ARSON-KNOWINGLY BURNING/SUCCESS,Yes,No,No,1,3,27,2107,S GRAND BLVD,2107,S GRAND,,,894367.69,1012217,1,January2008.dta
4279,26jan2008,2008,1,26,655,January,2008,Arson,82000,ARSON-2ND DEGREE/SUCCESS,Yes,No,No,1,8,57,4364,SAINT FERDINAND AVE,4364,ST FERDINAND,,,893621.63,1029537,1,January2008.dta
4503,27jan2008,2008,1,27,1445,January,2008,Arson,82000,ARSON-2ND DEGREE/SUCCESS,Yes,No,No,1,7,50,5532,HEBERT ST,5532,HEBERT,,,886971.38,1036685,1,January2008.dta
4634,28jan2008,2008,1,28,1317,January,2008,Arson,81000,ARSON-1ST DEGREE/SUCCESS,Yes,No,No,1,5,59,3836,NATURAL BRIDGE AVE,3836,NATURAL BRIDGE,BEAUMONT HIGH SCHOOL,ON THE 1 ST FL WEST SIDE OF BUILDING,899611.19,1030255,1,January2008.dta
