id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
205,02jan2004,2004,1,2,304,January,2008,Homicide,10000,HOMICIDE,No,No,Yes,1,7,0,959,GOODFELLOW BLVD,959,GOODFELLOW,,,0,0,0,January2008.dta
2108,12jan2008,2008,1,12,1237,January,2008,Homicide,10000,HOMICIDE,Yes,No,No,1,7,50,5738,TERRY AVE,5738,TERRY,,,884640.81,1035670,1,January2008.dta
2864,17jan2008,2008,1,17,400,January,2008,Homicide,10000,HOMICIDE,Yes,No,No,1,7,48,5356,PAGE BLVD,5356,PAGE,,ROOM 303,884691.38,1029832,1,January2008.dta
3456,20jan2008,2008,1,20,2119,January,2008,Homicide,10000,HOMICIDE,No,No,Yes,1,7,50,5826,ROOSEVELT PL,5826,ROOSEVELT PL,,STREET,884224.81,1036269,1,January2008.dta
3587,21jan2008,2008,1,21,1738,January,2008,Homicide,10000,HOMICIDE,Yes,No,No,1,1,16,3859,OHIO AVE,3859,OHIO,,,897615.13,1001913,1,January2008.dta
4916,30jan2008,2008,1,30,1534,January,2008,Homicide,10000,HOMICIDE,Yes,No,No,1,8,0,4100,SAINT LOUIS AVE,4100,ST LOUIS,,,896914.5,1029364,1,January2008.dta
4950,30jan2008,2008,1,30,1919,January,2008,Homicide,10000,HOMICIDE,Yes,No,No,1,8,55,2418,N EUCLID AVE,2418,N EUCLID,,,890103.19,1031535,1,January2008.dta
5230,11dec2006,2006,12,11,1418,January,2008,Homicide,10000,HOMICIDE,No,No,Yes,1,9,39,4422,VISTA AVE,4422,VISTA,,,888825,1015995,0,January2008.dta
5397,29dec2007,2007,12,29,2347,January,2008,Homicide,10000,HOMICIDE,No,No,Yes,1,4,35,601,MARKET ST,0,MARKET,,,908469.13,1016824,0,January2008.dta
6322,04feb2008,2008,2,4,1745,February,2008,Homicide,10000,HOMICIDE,Yes,No,No,1,9,29,1646,S 39TH ST,1646,39TH,,,893192.88,1014208,1,February2008.dta
7031,09feb2008,2008,2,9,1730,February,2008,Homicide,10000,HOMICIDE,Yes,No,No,1,7,48,5617,ENRIGHT AVE,5617,ENRIGHT,,,882262.81,1027291,1,February2008.dta
7069,09feb2008,2008,2,9,2259,February,2008,Homicide,10000,HOMICIDE,Yes,No,No,1,6,71,5001,N KINGSHIGHWAY BLVD,5001,N KINGSHIGHWAY,,SIDEWALK,893059.19,1039136,1,February2008.dta
