id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
124,01jan2008,2008,1,1,1054,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,3,21,1901,S 13TH ST,1901,S 13TH,,,903047,1010788,1,January2008.dta
242,02jan2008,2008,1,2,954,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,5,64,4828,N BROADWAY,4828,N BROADWAY,,,904588.81,1034757,1,January2008.dta
281,02jan2008,2008,1,2,1430,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,3,20,1901,S BROADWAY,1901,S BROADWAY,,,905470,1010139,1,January2008.dta
336,02jan2008,2008,1,2,1927,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,7,78,1301,UNION BLVD,1301,UNION,,,885308.81,1029902,1,January2008.dta
374,03jan2008,2008,1,3,29,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,5,67,3900,W FLORISSANT AVE,3900,W FLORISSANT,NA,SIDEWALK / VACANT BUSINESS,901133.5,1033769,1,January2008.dta
440,03jan2008,2008,1,3,1249,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,3,18,2316,CHEROKEE ST,2316,CHEROKEE,,,899110.88,1005045,1,January2008.dta
471,03jan2008,2008,1,3,1748,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,7,78,1499,SHAWMUT PL,1499,SHAWMUT PL,,,883478.13,1033422,1,January2008.dta
999,06jan2008,2008,1,6,1430,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,4,35,330,N 4TH ST,0,N 4TH,,SIDEWALK,909633.81,1017651,1,January2008.dta
1014,06jan2008,2008,1,6,1624,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,7,50,1516,HAMILTON AVE,1516,HAMILTON,,,882458.63,1034391,1,January2008.dta
1188,07jan2008,2008,1,7,1650,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,4,35,801,WASHINGTON AVE,0,WASHINGTON,,,908274.38,1018756,1,January2008.dta
1318,08jan2008,2008,1,8,742,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,2,41,0,CLAYTON AVE / HAMPTO,0,CLAYTON,,,881131.13,1018397,1,January2008.dta
1506,09jan2008,2008,1,9,1020,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,3,21,1708,S 8TH ST,1708,S 8TH,,REAR ALLEY,905481.38,1010977,1,January2008.dta
1550,09jan2008,2008,1,9,1656,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,7,51,5030,CATES AVE,5030,CATES,,,887561.81,1027394,1,January2008.dta
1717,10jan2008,2008,1,10,1625,January,2008,Liquor Laws,229999,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,Yes,No,No,1,7,78,1401,ARLINGTON AVE,1401,ARLINGTON,,,885126.13,1031068,1,January2008.dta
