id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
290,02jan2008,2008,1,2,1515,January,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,4,33,1515,LASALLE LN,1515,LASALLE LN,CLINTON-PEABODY HOUSING COMPLEX,APARTMENT,903981.81,1014259,1,January2008.dta
2376,14jan2006,2006,1,14,2200,January,2008,Offenses Against The Family,209999,FAMILY & CHILD CRIME-OTHR UNSPEC FAM/CHILD OFF,Yes,No,No,1,3,27,3966,CLEVELAND AVE,3966,CLEVELAND,,,892092.38,1011401,0,January2008.dta
3627,21jan2008,2008,1,21,2250,January,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,4,35,999,N 2ND ST,0,N 2ND,LUMIERE CASINO,,910439.81,1019433,1,January2008.dta
4609,28jan2008,2008,1,28,1000,January,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,7,50,5720,NATURAL BRIDGE AVE,5720,NATURAL BRIDGE,WESTERN INN,,885698.63,1038408,1,January2008.dta
4635,28jan2008,2008,1,28,1330,January,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,4,34,1135,S 9TH ST,1135,S 9TH,LASALLE HOUSING COMPLEX,,906241.31,1013517,1,January2008.dta
5638,29jan2008,2008,1,29,940,February,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,No,No,Yes,1,1,16,3432,GASCONADE ST,3432,GASCONADE,,,893646.13,1000998,1,February2008.dta
15105,30mar2008,2008,3,30,930,March,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,5,66,2017,E LINTON AVE,2017,LINTON,PAIDEIA ACADEMY,SCHOOL,902398.31,1034771,1,March2008.dta
18670,17apr2008,2008,4,17,1220,April,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,4,33,1444,CASTLE LN,1444,CASTLE LN,,,904404.5,1014461,1,April2008.dta
21099,01dec2005,2005,12,1,1949,April,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,1,17,4720,S BROADWAY,4720,S BROADWAY,,,895912.13,996407,0,April2008.dta
21187,28mar2008,2008,3,28,1700,May,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,1,16,4654,VIRGINIA AVE,4654,VIRGINIA,,,893553.31,997182.88,1,May2008.dta
22176,05may2008,2008,5,5,700,May,2008,Offenses Against The Family,203000,FAMILY & CHILD CRIME-ABANDON CHILD,Yes,No,No,1,7,46,5781,WATERMAN BLVD,5781,WATERMAN,,,880715.69,1025643,1,May2008.dta
24909,20may2008,2008,5,20,1735,May,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,9,38,0,METROLINK - CENTRAL,0,S EUCLID,,@METROLINK - CENTRAL WEST END,887998.81,1020601,1,May2008.dta
27129,25apr2008,2008,4,25,1300,June,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,No,No,Yes,1,1,17,4315,CALIFORNIA AVE,4315,CALIFORNIA,,,896315.88,999167.38,1,June2008.dta
28811,08jun2008,2008,6,8,1,June,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,8,56,3611,N TAYLOR AVE,3611,N TAYLOR,,,894386.88,1033074,1,June2008.dta
29234,10jun2008,2008,6,10,1015,June,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,3,25,2723,MICHIGAN AVE,2723,MICHIGAN,,,896325.38,1009452,1,June2008.dta
35479,11jul2008,2008,7,11,2100,July,2008,Offenses Against The Family,204200,FAMILY & CHILD CRIME-CNTRIB DELINQ MINOR,Yes,No,No,1,8,55,4860,LEDUC ST,4860,LEDUC,,ON STREET IN FRONT OF RESIDENCE,889794.38,1030805,1,July2008.dta
37552,22jul2008,2008,7,22,1620,July,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,3,18,2027,CHEROKEE ST,2027,CHEROKEE,,,900078.63,1004897,1,July2008.dta
39245,31jul2008,2008,7,31,1400,July,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,9,59,2946,JAMES COOL PAPA BELL,2946,COOL PAPA BELL,,,900358,1022980,1,July2008.dta
39388,01may2007,2007,5,1,1942,August,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,2,9,6843,BRADLEY AVE,6843,BRADLEY,,,875334.13,1009230,0,August2008.dta
39412,15jun2008,2008,6,15,1500,August,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,1,5,4166,MERAMEC ST,4166,MERAMEC,,REAR YARD,888622.88,1003466,1,August2008.dta
44443,24aug2008,2008,8,24,2025,August,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,7,50,5750,NATURAL BRIDGE AVE,5750,NATURAL BRIDGE,,,885556.38,1038533,1,August2008.dta
45443,30aug2008,2008,8,30,600,August,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,7,52,5137,COTE BRILLIANTE AVE,5137,COTE BRILLIANTE,,,887877.88,1031862,1,August2008.dta
45763,01jan2008,2008,1,1,1426,September,2008,Offenses Against The Family,205000,FAMILY & CHILD CRIME-CHILD ABUSE,No,No,Yes,-1,3,27,3915,RUSSELL BLVD,3915,RUSSELL,,,892989.31,1012529,1,September2008.dta
45764,01jan2008,2008,1,1,1426,September,2008,Offenses Against The Family,205000,FAMILY & CHILD CRIME-CHILD ABUSE,Yes,No,No,1,3,27,3915,RUSSELL BLVD,3915,RUSSELL,,,892989.31,1012529,1,September2008.dta
45792,01may2008,2008,5,1,1120,September,2008,Offenses Against The Family,204200,FAMILY & CHILD CRIME-CNTRIB DELINQ MINOR,Yes,No,No,1,6,73,5955,ERA AVE,5955,ERA,,,890960.5,1049046,1,September2008.dta
45793,01may2008,2008,5,1,1502,September,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,6,71,4942,HARNEY AVE,4942,HARNEY,,,894902.31,1039722,1,September2008.dta
45818,20jun2008,2008,6,20,1523,September,2008,Offenses Against The Family,209999,FAMILY & CHILD CRIME-OTHR UNSPEC FAM/CHILD OFF,Yes,No,No,1,2,9,6833,BRADLEY AVE,6833,BRADLEY,,,875451.63,1009254,1,September2008.dta
46116,30aug2008,2008,8,30,2230,September,2008,Offenses Against The Family,209999,FAMILY & CHILD CRIME-OTHR UNSPEC FAM/CHILD OFF,Yes,No,No,1,6,71,5310,N EUCLID AVE,5310,N EUCLID,,,894542.13,1038824,1,September2008.dta
49963,18sep2008,2008,9,18,1600,September,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,7,0,5371,DR MARTIN LUTHER KIN,5371,DR MARTIN L KING,,,885951.31,1031873,1,September2008.dta
50325,20sep2008,2008,9,20,100,September,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,1,1,6331,VIRGINIA AVE,6331,VIRGINIA,,,891124.38,992413.81,1,September2008.dta
52036,28sep2008,2008,9,28,1900,September,2008,Offenses Against The Family,206000,FAMILY & CHILD CRIME-UNLWFL TRNSCTION W CHILD,Yes,No,No,1,3,24,2700,ACCOMAC ST,2700,ACCOMAC,,,898888.13,1010858,1,September2008.dta
52278,30sep2008,2008,9,30,1135,September,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,4,61,1329,N 14TH ST,1329,N 14TH,,,906561.63,1022276,1,September2008.dta
52494,03sep2008,2008,9,3,800,October,2008,Offenses Against The Family,204200,FAMILY & CHILD CRIME-CNTRIB DELINQ MINOR,Yes,No,No,1,7,78,5867,PAGE BLVD,5867,PAGE,,,881630.81,1032263,1,October2008.dta
55403,15oct2008,2008,10,15,1220,October,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,3,18,3648,KOSCIUSKO ST,3648,KOSCIUSKO,,UNIT  105,901094.19,1002717,1,October2008.dta
56252,20oct2008,2008,10,20,928,October,2008,Offenses Against The Family,204200,FAMILY & CHILD CRIME-CNTRIB DELINQ MINOR,Yes,No,No,1,6,68,4135,W CARTER AVE,4135,CARTER,,,898798.5,1034544,1,October2008.dta
58148,30oct2008,2008,10,30,2020,October,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,1,2,7708,WATER ST,7708,WATER,,,889486.88,987616.13,1,October2008.dta
58338,06feb2008,2008,2,6,800,November,2008,Offenses Against The Family,204200,FAMILY & CHILD CRIME-CNTRIB DELINQ MINOR,Yes,No,No,1,1,16,4061,GILES AVE,4061,GILES,,,892116.88,1001534,1,November2008.dta
58343,12mar2006,2006,3,12,1,November,2008,Offenses Against The Family,205000,FAMILY & CHILD CRIME-CHILD ABUSE,Yes,No,No,1,9,29,1465,S GRAND BLVD,1465,S GRAND,CARDINAL GLENNON HOSPITAL,@CARDINAL GLENNON HOSPITAL,894852.63,1015265,0,November2008.dta
60447,11nov2008,2008,11,11,2030,November,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,1,16,5010,VIRGINIA AVE,5010,VIRGINIA,,,893335.81,996344.19,1,November2008.dta
66478,17dec2008,2008,12,17,2130,December,2008,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,2,14,5827,MARDEL AVE,5827,MARDEL,,,879825.69,1005532,1,December2008.dta
71998,23jan2009,2009,1,23,2046,January,2009,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,1,1,557,EILER ST,0,EILER,,RESIDENCE,892485.63,995485.5,1,January2009.dta
73917,05feb2009,2009,2,5,20,February,2009,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,3,19,0,CHEROKEE ST / MINNES,3029,SHENANDOAH,,,896140.88,1005499,1,February2009.dta
76788,23feb2009,2009,2,23,2030,February,2009,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,8,55,4757,SAINT LOUIS AVE,4757,ST LOUIS,,FIRST FLOOR,891679.63,1032259,1,February2009.dta
76896,24feb2009,2009,2,24,1555,February,2009,Offenses Against The Family,204100,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,Yes,No,No,1,7,50,3441,UNION BLVD,3441,UNION,SCHNUCKS MARKET,,888907.38,1035695,1,February2009.dta
77672,08feb2009,2009,2,8,1400,March,2009,Offenses Against The Family,209999,FAMILY & CHILD CRIME-OTHR UNSPEC FAM/CHILD OFF,Yes,No,No,1,1,4,6823,LEONA ST,,LEONA,BOULEVARD HEIGHTS,BOULEVARD HEIGHTS,885031.38,994369.88,1,March2009.dta
