id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
1138,07jan2008,2008,1,7,1127,January,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,4,36,209,N 17TH ST,0,N 17TH,,,904613.19,1018594,1,January2008.dta
1141,07jan2008,2008,1,7,1200,January,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,9,77,516,N GRAND BLVD,0,N GRAND,,,896897.38,1021472,1,January2008.dta
2457,14jan2008,2008,1,14,1420,January,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,4,35,401,CHESTNUT ST,0,CHESTNUT,SIDEWALK,,909185.81,1016915,1,January2008.dta
3876,23jan2008,2008,1,23,1515,January,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,9,38,4659,MARYLAND AVE,4659,MARYLAND,,,888454.81,1023811,1,January2008.dta
6884,08feb2008,2008,2,8,1825,February,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,9,38,300,N EUCLID AVE,0,N EUCLID,,,888454.81,1023811,1,February2008.dta
7022,09feb2008,2008,2,9,1700,February,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,4,35,800,WASHINGTON AVE,0,WASHINGTON,RENAISSANCE HOTEL,,908187.38,1018534,1,February2008.dta
7261,11feb2008,2008,2,11,1530,February,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,9,77,900,N GRAND BLVD,0,N GRAND,,CURRENCY EXCHANGE,897517.38,1022560,1,February2008.dta
7852,15feb2008,2008,2,15,1546,February,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,4,0,1721,PARK AVE,1721,PARK,,,903124,1013541,1,February2008.dta
8140,17feb2008,2008,2,17,1506,February,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,7,50,5750,NATURAL BRIDGE AVE,5750,NATURAL BRIDGE,MOBIL,GAS STATION PARKING LOT,885556.38,1038533,1,February2008.dta
8253,18feb2008,2008,2,18,1014,February,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,4,35,500,CONVENTION PZ,0,CONVENTION PZ,,,909451.5,1018921,1,February2008.dta
9356,26feb2008,2008,2,26,1410,February,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,9,38,313,N EUCLID AVE,0,N EUCLID,PASTA HOUSE,,888222.19,1023907,1,February2008.dta
10544,02mar2008,2008,3,2,1625,March,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,2,82,5620,GRAND DR,5620,GRAND DR,,ON TWIN LOTS,881479.88,1023089,1,March2008.dta
10763,04mar2008,2008,3,4,1,March,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,9,38,451,N NEWSTEAD AVE,0,N NEWSTEAD,,,890931.31,1024360,1,March2008.dta
11997,12mar2008,2008,3,12,345,March,2008,Vagrancy,250000,LOITERING-BEGGING,Yes,No,No,1,7,50,5750,NATURAL BRIDGE AVE,5750,NATURAL BRIDGE,MOBIL,GAS STATION,885556.38,1038533,1,March2008.dta
