id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
1,01jan1977,1977,1,1,800,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,33,1400,MORRISON LN,1400,MORRISON LN,,,904294.5,1013566,0,January2008.dta
4,01jan1993,1993,1,1,1,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,65,1900,FERRY ST,1900,FERRY,,,904165.69,1032050,0,January2008.dta
15,01jan2007,2007,1,1,1044,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,1,5,4100,OSCEOLA ST,4100,OSCEOLA,,,888405.38,1002497,0,January2008.dta
16,01jan2007,2007,1,1,1211,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,7,50,1500,ARLINGTON AVE,1500,ARLINGTON,,,885685.13,1032168,0,January2008.dta
17,01jan2007,2007,1,1,1211,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,7,50,1500,ARLINGTON AVE,1500,ARLINGTON,,,885685.13,1032168,0,January2008.dta
103,01jan2008,2008,1,1,400,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,9,39,4400,SWAN AVE,4400,SWAN,,,888599.88,1016632,1,January2008.dta
377,03jan2008,2008,1,3,100,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,25,3400,WYOMING ST,3400,WYOMING,,,894456.88,1006890,1,January2008.dta
881,05jan2008,2008,1,5,2000,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,69,4400,W FLORISSANT AVE,4400,W FLORISSANT,OFALLON PARK,PUBLIC PARK,898496.69,1037289,1,January2008.dta
1104,07jan2008,2008,1,7,230,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,3,25,3500,CRITTENDEN ST,3500,CRITTENDEN,,,894663.69,1008514,1,January2008.dta
1456,09jan2008,2008,1,9,30,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,74,1200,RIVERVIEW BLVD,1200,RIVERVIEW,,,894483.69,1052056,1,January2008.dta
2691,15jan2008,2008,1,15,2240,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,32,2400,PARK AVE,2400,PARK,ANNIE MALONE APARTMENT,,900224.31,1013897,1,January2008.dta
3512,21jan2008,2008,1,21,400,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,No,Yes,No,-1,1,16,3900,S BROADWAY,3900,S BROADWAY,ALEXIAN BROTHERS HOSPITAL PSYCH. WARD,,897890.5,1001421,1,January2008.dta
3513,21jan2008,2008,1,21,400,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,1,16,3900,S BROADWAY,3900,S BROADWAY,ALEXIAN BROTHERS HOSPITAL PSYCH. WARD,,897890.5,1001421,1,January2008.dta
3657,22jan2008,2008,1,22,715,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,5,59,3800,LABADIE AVE,3800,LABADIE,RESIDENCE,,899011.88,1028511,1,January2008.dta
3765,22jan2008,2008,1,22,2034,January,2008,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,6,76,6200,W FLORISSANT AVE,6200,W FLORISSANT,CHINA CHOP SUEY,IN REAR ALLEY,890288.38,1048310,1,January2008.dta
