id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source,mergedcad
1249,08jan2008,2008,1,8,1156,1,2008,6,63701,LARCENY-SHOPLIFT UNDER $500,1,0,0,1,0,0,0,4171 LINDELL BLVD /,4171,LINDELL,,,0,0,January2008.dta,4171 LINDELL
10992,12mar2008,2008,3,12,1500,3,2008,5,51312,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1,0,0,1,0,6,,,5075,RUSKIN,,,0,0,March2008.dta,5075 RUSKIN
35616,23jul2008,2008,7,23,1818,7,2008,15,151110,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,1,0,0,1,0,0,,NATURAL BRIDGE AVE,5750,NATURAL BRIDGE,,,0,0,July2008.dta,5750 NATURAL BRIDGE
40658,17aug2008,2008,8,17,2015,8,2008,26,266100,PUBLIC ORDER-DEMONSTRATING,1,0,0,1,1,16,0,4600 ALASKA AVE / IT,4600,ALASKA,,,0,0,August2008.dta,4600 ALASKA
52275,14oct2008,2008,10,14,1000,10,2008,7,71030,AUTO THEFT-PERM RETNT/JOY RIDE,0,0,1,1,0,0,,,4544,ADELAIDE,,,0,0,October2008.dta,4544 ADELAIDE
52276,14oct2008,2008,10,14,1000,10,2008,7,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1,0,0,1,0,0,,,4544,ADELAIDE,,,0,0,October2008.dta,4544 ADELAIDE
67071,14jan2009,2009,1,14,927,1,2009,13,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",1,0,0,1,0,0,0,UNKNOWN,6016,MAPLE,ST.LOUIS CO.,ST.LOUIS CO.,0,0,January2009.dta,6016 MAPLE
