id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
47,01jan2008,2008,1,1,50,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,4,35,800,CERRE ST,0,CERRE,,,907582.88,1015102,1,January2008.dta
68,01jan2008,2008,1,1,145,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,7,46,5861,DE GIVERVILLE AVE,5861,DEGIVERVILLE,,,880191.13,1026049,1,January2008.dta
73,01jan2008,2008,1,1,155,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,4,35,721,N 2ND ST,0,N 2ND,,,910261.38,1018660,1,January2008.dta
108,01jan2008,2008,1,1,405,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,4,35,200,N 4TH ST,0,N 4TH,,@RADISSON HOTEL,909518.13,1017323,1,January2008.dta
165,01jan2008,2008,1,1,1825,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,2,88,6225,ARCHWOOD LN,6225,ARCHWOOD LN,,,874376.88,998787.63,1,January2008.dta
216,02jan2008,2008,1,2,210,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,3,27,4153,FLAD AVE,4153,FLAD,,1ST FLR,890774.69,1012061,1,January2008.dta
284,02jan2008,2008,1,2,1439,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,3,18,1900,CHEROKEE ST,1900,CHEROKEE,O MALLEY S PUB,,900565.5,1004590,1,January2008.dta
345,02jan2008,2008,1,2,2100,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,2,8,7130,JAMIESON AVE,7130,JAMIESON,,,877958.31,996958.81,1,January2008.dta
352,02jan2008,2008,1,2,2140,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,4,36,1401,CLARK AVE,1401,CLARK,SCOTTRADE CENTER,SCOTTRADE CENTER,905209.31,1017077,1,January2008.dta
562,04jan2008,2008,1,4,800,January,2008,Disorderly Conduct,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,Yes,No,No,1,5,66,5225,BLAIR AVE,5225,BLAIR,,,902560.38,1035269,1,January2008.dta
